uv_origin,google_duration,trip_path_distance,hhsize,hh_rent,hh_own,depart_time,hhincome_broad,rent_own,numchildren,vehicle_count,weekday_am,weekday_mid,weekday_pm,weekday_late,residency_under5,residency_over5,income_under25,income_25_50,income_75_100,income_over100,drive_alone,pct_white,trip_wt_final,drive_alone_threshold
12th Avenue,13.783665566503212,3.0846619711288943,2.3286262965382107,0.48811850599000106,0.5075375934415666,14.45236278151682,3.4281518352230624,1.5054941082637308,0.4494626833848334,1.325850900887919,0.12518865742057717,0.2381239088622159,0.5267152028711518,0.046551607009686205,0.7594592327090739,0.24054076729092616,0.19364346081994463,0.14520772327016723,0.0014676455360452202,0.41394962392920415,0.47379469273836455,0.7402923733347628,27635.422384523004,0
23rd & Union-Jackson,9.286289935686414,2.0654866688632576,2.3046815444321,0.48644684353901096,0.5064800129297261,12.670085571558332,3.3843081415678196,1.5147394176640696,0.4910200465133572,1.3938956714228814,0.22217258593877834,0.45765428779036743,0.23118852056083364,0.05939773048799747,0.3267257573510226,0.6732742426489784,0.07354042252651778,0.37216947036053866,0.00012308728671680573,0.3801790686598384,0.42953719245720606,0.602309729623589,32649.140794223986,0
Admiral,10.715962114484368,2.8239614916279043,3.1735744778805364,0.15982792053473707,0.8401720794652632,11.409845047131457,4.004207809637693,1.159827920534737,1.4964448259193173,2.5826807328974883,0.46911308373125,0.32653843575756586,0.14935193551188414,0.034727572791502924,0.045074790624064484,0.9549252093759356,0.06704322930594436,0.19964857448444032,0.00672724214548145,0.5432395480433263,0.33009448351094345,0.9138695635090742,6347.874362643,1
Aurora-Licton Springs,11.0173228036072,3.361998937669624,2.2772685567210513,0.2819028674030189,0.69703986932244,14.136645375841223,4.2589335202587035,1.3648825741010546,0.38970285159254037,2.0945448913311817,0.3367764924732362,0.12833182968812004,0.2696639190145752,0.2221005105375183,0.4250873413106219,0.5749126586893784,0.02112385398527594,0.07103480324966484,0.010560814876232996,0.5002371183992496,0.513453886990338,0.7263811679137917,16628.694810181983,0
Ballard,8.104783258664169,2.006285812157405,2.893480323943997,0.6459483199403075,0.3540516800596951,13.347942974883626,3.8201413850218016,1.6459483199403075,0.908298384039497,1.49327765732866,0.2623815070027346,0.34777042901704147,0.2886928851439049,0.07159047462556856,0.5123696346292796,0.4876303653707233,0.07202779337671417,0.09164680270891672,0.001393495798405032,0.424663254052189,0.3160007651780642,0.933041294111559,56796.82101883688,1
Ballard-Interbay-Northend,9.519243269850376,2.350534252274443,2.5466624064743004,0.40552619002365686,0.5814013165380344,13.39381493436975,3.713818069705017,1.4447436703385848,0.6365826906468361,2.065905732728304,0.09117563133086778,0.5956709960466547,0.23538101332037928,0.06159319176882182,0.30177861962249014,0.6982213803775101,0.14536654495577345,0.06009667946521334,0.004427061816989353,0.4311976181524539,0.5850180889846943,0.8769219612644612,51304.30230200499,0
Belltown,9.690305332494555,1.9824222945371532,1.9133230535108923,0.5027961804940212,0.48920171719406574,13.626296201916718,3.9400186373168142,1.528142872350871,0.26322340898316576,1.3631121183412143,0.16203345282269954,0.41350641003857125,0.2924251469099897,0.09577029606022895,0.5806673151463069,0.4193326848536925,0.09317936650218847,0.10931725683241139,0.0007682145838116063,0.5306962214704425,0.155766289591728,0.7925360149853504,42817.21026985406,1
Bitter Lake Village,13.652499854800297,4.678384158658707,1.8482608687929685,0.6417122994548673,0.3582877005451333,11.449788595424355,2.406777633250562,1.6417122994548667,0.16467573853844433,1.1300363285541746,0.2789662511693327,0.3884262360792123,0.15621985201872118,0.03149940674309305,0.6251581671809285,0.3748418328190717,0.4988694195817283,0.07810315161749164,0.006554192431733705,0.09107470793204141,0.3101613508712414,0.872385339325455,10846.109498995991,1
Capitol Hill,10.25937262688321,1.8905943982477604,1.6932358608240383,0.6604950214681128,0.32031488966864385,12.98519981113534,3.6843496437982477,1.6988751991946034,0.12214561336337375,0.944693582980717,0.25031031514301105,0.27170797565614896,0.28667026916703114,0.10290144320967114,0.5432903036532503,0.4567096963467521,0.17272825192165825,0.09476495302372623,0.001914693575327384,0.36655104432268504,0.29107732142212295,0.7866503374399569,65665.5454590159,1
Chinatown-International District,10.304162578152438,2.373615529946635,2.6880930855038403,0.33642179771661795,0.6635782022833803,12.52590897109748,3.571947943879842,1.3364217977166168,0.6226259834892532,1.4146387148269353,0.08544502013420317,0.654797389237789,0.17320311037708458,0.0037722504289568323,0.20116134419223336,0.7988386558077656,0.09982165943149507,0.040228652147592706,0.05320732078507537,0.19854271884068012,0.1975761974817437,0.506151744724022,25379.34153260204,1
