block_group,mode,departure_time,distance,duration,destination,lat,lon,address,class,type,city,rating
530330033003,bicycling,2018-07-26 07:00:00-07:00,5.048477315102549,31.466666666666665,South Lake Union,47.61880896,-122.3379719,,urban_village,,,
530330033003,bicycling,2018-07-26 07:00:00-07:00,5.048477315102549,31.466666666666665,South Lake Union,47.622933,-122.33710500000001,,citywide,Major Employment Area,,
530330077004,bicycling,2018-07-26 07:00:00-07:00,0.6364201367308887,5.883333333333334,Planned Parenthood - Seattle Health Center,47.6173333,-122.3050597,2001 East Madison Street,hospital,,Seattle,3.3
530330059001,bicycling,2018-07-26 07:00:00-07:00,4.951522684897451,36.21666666666667,First Hill,47.60790794,-122.3260425,,urban_village,,,
530330059001,bicycling,2018-07-26 07:00:00-07:00,4.951522684897451,36.21666666666667,First Hill,47.609421999999995,-122.32512,,citywide,Major Employment Area,,
530330102002,bicycling,2018-07-26 07:00:00-07:00,3.1870727159726537,17.2,United States Postal Service,47.5602799,-122.2858223,3727 South Alaska Street,post_office,,Seattle,2.3
530330043022,bicycling,2018-07-26 07:00:00-07:00,4.102548166563083,30.98333333333333,North Seattle College,47.699252,-122.33352,,citywide,College,,
530330053012,bicycling,2018-07-26 07:00:00-07:00,0.7712865133623369,4.2,Higher Education Tutors,47.653353700000004,-122.31196000000001,4000 15th Avenue Northeast,school,,Seattle,
530330072003,bicycling,2018-07-26 07:00:00-07:00,0.4872591671845867,6.533333333333332,Olympic Sculpture Park,47.616675,-122.355396,,destination_park,,,
530330041002,bicycling,2018-07-26 07:00:00-07:00,1.916096954630205,16.733333333333334,Bryant Elementary School,47.6711946,-122.2921117,3311 Northeast 60th Street,school,,Seattle,4.8
530330065002,bicycling,2018-07-26 07:00:00-07:00,0.6252330640149161,3.333333333333333,Capitol Hill,47.62031626,-122.3198659,,urban_village,,,
530330062002,bicycling,2018-07-26 07:00:00-07:00,1.8949658172778123,12.666666666666664,Union Center Pharmacy,47.640547999999995,-122.32553300000001,2324 Eastlake Avenue East # 405,pharmacy,,Seattle,3.7
530330018003,bicycling,2018-07-26 07:00:00-07:00,6.357986326911125,39.86666666666667,South Lake Union,47.61880896,-122.3379719,,urban_village,,,
530330018003,bicycling,2018-07-26 07:00:00-07:00,6.357986326911125,39.86666666666667,South Lake Union,47.622933,-122.33710500000001,,citywide,Major Employment Area,,
530330111024,bicycling,2018-07-26 07:00:00-07:00,6.613424487259167,44.33333333333334,Downtown Pioneer Square,47.601651000000004,-122.334226,,citywide,Major Employment Area,,
530330028004,bicycling,2018-07-26 07:00:00-07:00,11.261031696706027,67.45,Bellevue-Square,47.615522999999996,-122.199049,,citywide,Major Employment Area,,
530330098004,bicycling,2018-07-26 07:00:00-07:00,6.88564325668117,47.48333333333333,South Lake Union,47.61880896,-122.3379719,,urban_village,,,
530330098004,bicycling,2018-07-26 07:00:00-07:00,6.88564325668117,47.48333333333333,South Lake Union,47.622933,-122.33710500000001,,citywide,Major Employment Area,,
530330016001,bicycling,2018-07-26 07:00:00-07:00,3.49844623990056,23.83333333333333,Northgate Transit Center,47.702358000000004,-122.32721000000001,,citywide,Transit Hub,,
530330048003,bicycling,2018-07-26 07:00:00-07:00,0.15102548166563082,1.5666666666666669,Coffee Hut,47.6539569,-122.3601554,3623 Leary Way Northwest,cafe,,Seattle,5.0
530330017023,bicycling,2018-07-26 07:00:00-07:00,9.891858297078931,53.56666666666667,SODO,47.583574,-122.333555,,citywide,Major Employment Area,,
530330116005,bicycling,2018-07-26 07:00:00-07:00,6.492852703542572,39.36666666666667,SODO,47.583574,-122.333555,,citywide,Major Employment Area,,
530330059002,bicycling,2018-07-26 07:00:00-07:00,6.332504661280298,44.6,North Seattle College,47.699252,-122.33352,,citywide,College,,
530330110022,bicycling,2018-07-26 07:00:00-07:00,5.193287756370417,35.71666666666667,First Hill,47.60790794,-122.3260425,,urban_village,,,
530330110022,bicycling,2018-07-26 07:00:00-07:00,5.193287756370417,35.71666666666667,First Hill,47.609421999999995,-122.32512,,citywide,Major Employment Area,,
530330022003,bicycling,2018-07-26 07:00:00-07:00,4.136730888750777,29.88333333333333,Northgate Transit Center,47.702358000000004,-122.32721000000001,,citywide,Transit Hub,,
530330113001,bicycling,2018-07-26 07:00:00-07:00,15.349285270354256,103.75,North Seattle College,47.699252,-122.33352,,citywide,College,,
