,block_group,driving,bicycling,transit,walking,mode_index
0,530330100023,0.9885714285714285,0.88,0.7371428571428571,0.52,0.7814285714285715
1,530330107023,0.88,0.72,0.6857142857142857,0.48,0.6914285714285714
2,530330110013,0.88,0.76,0.5771428571428572,0.4,0.6542857142857142
3,530330020003,1.0,0.8,0.8171428571428572,0.56,0.7942857142857144
4,530330080015,0.96,0.84,0.6457142857142857,0.76,0.8014285714285714
5,530330053021,0.9657142857142857,0.88,0.84,0.52,0.8014285714285714
6,530330059002,0.88,0.88,0.8314285714285714,0.48,0.7678571428571429
7,530330061003,1.0,0.92,0.9514285714285714,0.56,0.8578571428571429
8,530330113003,0.88,0.64,0.6828571428571428,0.48,0.6707142857142857
9,530330025002,0.96,0.8,0.76,0.52,0.76
10,530330081003,0.96,0.88,0.6828571428571428,0.8,0.8307142857142857
11,530330007001,0.92,0.6,0.6742857142857143,0.44,0.6585714285714286
12,530330067004,0.96,0.88,0.9057142857142857,0.56,0.8264285714285714
13,530330107011,0.84,0.76,0.8628571428571429,0.4,0.7157142857142857
14,530330096002,0.88,0.68,0.4542857142857143,0.56,0.6435714285714286
15,530330001003,0.88,0.6,0.6885714285714286,0.44,0.6521428571428571
16,530330058013,0.68,0.84,0.8514285714285714,0.4,0.6928571428571428
17,530330104021,1.0,0.84,0.8485714285714285,0.48,0.7921428571428571
18,530330004023,0.8914285714285715,0.64,0.8485714285714285,0.56,0.735
19,530330049002,0.96,0.92,0.7942857142857143,0.48,0.7885714285714286
20,530330111012,0.88,0.68,0.7485714285714286,0.48,0.6971428571428572
21,530330002001,0.92,0.56,0.6714285714285714,0.44,0.6478571428571428
22,530330026002,1.0,0.8,0.5942857142857143,0.56,0.7385714285714285
23,530330101003,0.88,0.8,0.6542857142857142,0.48,0.7035714285714286
24,530330027003,0.9857142857142858,0.72,0.7971428571428572,0.56,0.7657142857142857
25,530330095004,0.92,0.84,0.7371428571428571,0.48,0.7442857142857143
26,530330264004,0.88,0.64,0.45714285714285713,0.36,0.5842857142857143
27,530330057005,0.6,0.8,0.8514285714285714,0.36,0.6528571428571428
28,530330060004,0.96,0.88,0.9342857142857143,0.48,0.8135714285714285
29,530330034003,0.92,0.88,0.8057142857142857,0.44,0.7614285714285715
30,530330106002,0.84,0.72,0.6085714285714285,0.48,0.6621428571428571
31,530330104024,1.0,0.84,0.6028571428571429,0.48,0.7307142857142856
32,530330114012,0.88,0.68,0.5828571428571429,0.52,0.6657142857142857
33,530330011001,0.92,0.64,0.7314285714285714,0.52,0.7028571428571428
34,530330073002,1.0,0.84,0.6628571428571428,0.76,0.8157142857142856
35,530330100024,1.0,0.88,0.8628571428571429,0.52,0.8157142857142857
36,530330106006,0.84,0.68,0.7142857142857143,0.48,0.6785714285714286
37,530330069002,0.9514285714285714,0.88,0.58,0.52,0.7328571428571429
38,530330031002,0.56,0.72,0.7,0.48,0.615
39,530330017024,0.8714285714285714,0.68,0.4857142857142857,0.52,0.6392857142857143
40,530330033003,0.76,0.84,0.6228571428571429,0.44,0.6657142857142857
41,530330070002,0.96,0.84,0.7057142857142857,0.6,0.7764285714285714
42,530330020002,0.96,0.72,0.7828571428571428,0.56,0.7557142857142857
43,530330111011,0.88,0.6,0.7685714285714286,0.48,0.6821428571428572
44,530330098004,0.8885714285714286,0.76,0.5828571428571429,0.48,0.6778571428571428
45,530330108002,0.88,0.76,0.86,0.44,0.735
46,530330106005,0.68,0.52,0.4085714285714286,0.44,0.5121428571428572
47,530330081002,1.0,0.88,0.68,0.8,0.8400000000000001
48,530330065001,0.96,0.92,0.8085714285714286,0.56,0.8121428571428572
49,530330080021,1.0,0.88,0.7285714285714285,0.8,0.8521428571428571
50,530330115003,0.88,0.64,0.7857142857142857,0.44,0.6864285714285714
51,530330035002,0.96,0.84,0.8314285714285714,0.48,0.7778571428571428
52,530330033004,0.6,0.8,0.5857142857142857,0.48,0.6164285714285714
53,530330059003,0.96,0.92,0.8742857142857143,0.48,0.8085714285714286
54,530330077004,0.96,0.84,0.88,0.68,0.84
55,530330089002,0.92,0.84,0.8914285714285715,0.56,0.8028571428571428
56,530330094001,1.0,0.84,0.86,0.68,0.845
57,530330016001,0.56,0.64,0.36857142857142855,0.48,0.5121428571428572
58,530330028004,0.96,0.72,0.6142857142857143,0.56,0.7135714285714286
59,530330053022,1.0,0.92,0.82,0.52,0.815
60,530330076001,0.96,0.84,0.8571428571428571,0.68,0.8342857142857143
61,530330057004,0.7114285714285714,0.76,0.76,0.24,0.6178571428571429
62,530330047003,0.8,0.84,0.6542857142857142,0.44,0.6835714285714286
63,530330117001,0.88,0.64,0.7,0.44,0.6649999999999999
64,530330014004,0.62,0.64,0.43142857142857144,0.48,0.5428571428571429
65,530330116006,0.84,0.64,0.8428571428571429,0.4,0.6807142857142857
66,530330080013,0.96,0.84,0.6771428571428572,0.76,0.8092857142857142
67,530330042003,0.96,0.8,0.7428571428571429,0.48,0.7457142857142857
