SERIALNO,HINCP,NP,WGTP,DOWNTOWN,NORTHEAST,NORTHWEST,SOUTHEAST,WEST,AGEP,DDRS,ENG,DEAR,DEYE,DOUT,MIG,HISP,JWMNP,BIKING,DRIVING,TRANSIT,WALKING,MALE,FEMALE,SCHL,WHITE_ALONE,BLACK_ALONE,NATIVE_INDIAN,ASIAN_ALONE,PACIFIC_ISLANDER,OTHER_RACE
0,127,17593.321570319607,2,122,0.0,0.0,0.0,1.0,0.0,56.0,1.0,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0
1,747,246097.05768006595,4,74,0.0,0.0,0.0,1.0,0.0,21.75,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.75,0.25,2.5,0.0,0.0,0.0,1.0,0.0,0.0
2,1984,55502.74066827019,3,69,0.0,1.0,0.0,0.0,0.0,21.666666666666668,1.0,0.5240049415992813,1.0,1.0,1.0,2.0,0.0,8.333333333333334,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2319,39794.41783762768,3,89,0.0,0.0,0.0,0.0,1.0,38.0,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,2.0,0.0,8.333333333333334,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0
4,2975,78436.89200100825,3,77,0.0,1.0,0.0,0.0,0.0,38.0,1.0,0.5240049415992813,1.0,1.0,1.0,2.0,0.0,21.666666666666668,0.0,1.0,0.0,0.0,0.0,1.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0
5,3231,23981.372854780897,1,96,1.0,0.0,0.0,0.0,0.0,32.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6,3447,215727.63354082376,2,241,1.0,0.0,0.0,0.0,0.0,36.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.5,0.5,4.0,0.5,0.0,0.5,0.0,0.0,0.0
7,3608,223267.62849953218,2,107,0.0,0.0,1.0,0.0,0.0,24.0,1.0,0.5240049415992813,1.0,1.0,1.0,2.0,0.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
8,5138,83777.72176342671,1,174,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
9,5349,54455.51914622736,1,141,0.0,0.0,1.0,0.0,0.0,30.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
10,5517,14346.934851986824,2,102,0.0,0.0,0.0,0.0,1.0,63.0,1.0,0.5240049415992813,0.5,0.5,0.5,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,5977,120325.75288272162,2,115,0.0,0.0,0.0,0.0,1.0,57.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,16.5,0.0,0.0,0.5,0.5,0.5,0.5,3.5,1.0,0.0,0.0,0.0,0.0,0.0
12,6939,8796.660785159804,1,154,0.0,0.0,0.0,0.0,1.0,85.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
13,7055,74562.17236944978,5,128,0.0,0.0,0.0,1.0,0.0,36.2,1.0,1.0,1.0,1.0,1.0,0.2,1.0,6.0,0.0,1.0,0.0,0.0,0.2,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0
14,7472,160434.33717696214,4,43,0.0,1.0,0.0,0.0,0.0,42.5,1.0,0.5240049415992813,1.0,0.25,1.0,0.0,0.0,17.5,0.0,1.0,0.0,0.0,0.5,0.5,3.5,1.0,0.0,0.0,0.0,0.0,0.0
