name,address,city,lat,lng,place_id,rating,class,type
12th Avenue,,,47.60831512,-122.3173448,12th-Avenue,,urban_village,
23rd & Union-Jackson,,,47.60314511,-122.306682,23rd-&-Union-Jackson,,urban_village,
Admiral,,,47.58234954,-122.3864201,Admiral,,urban_village,
Aurora-Licton Springs,,,47.69685401,-122.3459766,Aurora-Licton-Springs,,urban_village,
Ballard,,,47.67059299,-122.3826035,Ballard,,urban_village,
Ballard-Interbay-Northend,,,47.65972606,-122.3720196,Ballard-Interbay-Northend,,urban_village,
Belltown,,,47.61443468,-122.3473412,Belltown,,urban_village,
Bitter Lake Village,,,47.72856031,-122.3506528,Bitter-Lake-Village,,urban_village,
Capitol Hill,,,47.62031626,-122.3198659,Capitol-Hill,,urban_village,
Chinatown-International District,,,47.59797954,-122.3253079,Chinatown-International-District,,urban_village,
Columbia City,,,47.55949393,-122.2885288,Columbia-City,,urban_village,
Commercial Core,,,47.60779193,-122.3357634,Commercial-Core,,urban_village,
Crown Hill,,,47.69012456,-122.377021,Crown-Hill,,urban_village,
Denny Triangle,,,47.61683573,-122.3319319,Denny-Triangle,,urban_village,
Eastlake,,,47.64085403,-122.3256253,Eastlake,,urban_village,
First Hill,,,47.60790794,-122.3260425,First-Hill,,urban_village,
Fremont,,,47.6518068,-122.3475812,Fremont,,urban_village,
Greater Duwamish,,,47.57516743,-122.3335259,Greater-Duwamish,,urban_village,
Green Lake,,,47.67949638,-122.3250026,Green-Lake,,urban_village,
Greenwood-Phinney Ridge,,,47.69147943,-122.3558872,Greenwood-Phinney-Ridge,,urban_village,
Lake City,,,47.71746596,-122.2949054,Lake-City,,urban_village,
MLK at Holly St,,,47.53917935,-122.2885706,MLK-at-Holly-St,,urban_village,
Madison-Miller,,,47.61973216,-122.3072317,Madison-Miller,,urban_village,
Morgan Junction,,,47.54401147,-122.3865405,Morgan-Junction,,urban_village,
North Beacon Hill,,,47.585549,-122.3143521,North-Beacon-Hill,,urban_village,
North Rainier,,,47.58542942,-122.2975735,North-Rainier,,urban_village,
Northgate,,,47.70609738,-122.3266853,Northgate,,urban_village,
Outside Seattle,,,47.56009396,-122.1843592,Outside-Seattle,,urban_village,
Outside Villages,,,47.63845644,-122.3352405,Outside-Villages,,urban_village,
