name,address,city,lat,lng,place_id,rating,class,type
Trader Joe's,1700 East Madison Street,Seattle,47.6158665,-122.3099133,ChIJx0M1ztNqkFQRtgspEllQxk8,4.5,supermarket,
Hillcrest Market,110 Summit Avenue East,Seattle,47.6188496,-122.3250047,ChIJt5emCTMVkFQR-BCgFDTvu9o,3.5,supermarket,
Uwajimaya,600 5th Avenue South,Seattle,47.596843,-122.326929,ChIJq9nX27xqkFQRu05rxkrN7f4,4.5,supermarket,
Kress IGA Supermarket,1427 3rd Avenue,Seattle,47.6093957,-122.3378216,ChIJbdIhoLNqkFQRMTiHCN6W4nU,3.9,supermarket,
Double Dorjee,1501 Pike Street # 511,Seattle,47.608822,-122.3395702,ChIJkX3s-LJqkFQRQRexqCN0jQY,5,supermarket,
Whole Foods Market,2210 Westlake Avenue,Seattle,47.6183442,-122.3380965,ChIJyz9g9EkVkFQRutvXu56_BLk,4.3,supermarket,
Grocery Outlet Bargain Market,1702 4th Avenue South,Seattle,47.5878704,-122.3286255,ChIJIWM_pp5qkFQRsh-E4oUVcIM,4.3,supermarket,
Metropolitan Market Uptown,100 Mercer Street,Seattle,47.624805,-122.354842,ChIJsY2q3UMVkFQRBAbqlwfTqdE,4.5,supermarket,
Trader Joe's,1916 Queen Anne Avenue North,Seattle,47.6365817,-122.3567587,ChIJn-z5HhMVkFQR0APZKI1twvM,4.6,supermarket,
Foulee Market,2050 South Columbian Way,Seattle,47.5599649,-122.3051316,ChIJmbwZA99BkFQRIACApE5YiTQ,4.2,supermarket,
Whole Foods Market,2001 15th Avenue West,Seattle,47.6372223,-122.376892,ChIJOTwRwHAVkFQRYGVIWtpc7YQ,4.2,supermarket,
Seattle Super Market,4801 Beacon Avenue South,Seattle,47.559427,-122.30489,ChIJjwx9VN5BkFQRWRSE9mEfmo0,3.9,supermarket,
Metropolitan Market,2320 42nd Avenue Southwest,Seattle,47.5816325,-122.3846293,ChIJCS8FRG9AkFQRay47maLdNsc,4.6,supermarket,
Trader Joe's,4555 Roosevelt Way Northeast,Seattle,47.66267,-122.31762,ChIJq6Rq_l8UkFQRyDDI__HHS40,4.5,supermarket,
Trader Joe's,4545 Fauntleroy Way Southwest,Seattle,47.561965,-122.3810101,ChIJp_YVBUNAkFQRe9kml96hW9g,4.5,supermarket,
Metropolitan Market Sand Point,5250 40th Avenue Northeast,Seattle,47.6681872,-122.2836221,ChIJ5W3fE34TkFQRNkqlEtO1Z48,4.4,supermarket,
Seattle Public Library-Central Library,1000 4th Ave,Seattle,47.6067006,-122.3325009,ChIJ55fLWVtBkFQR0v31eadEoLM,4.7,library,
Douglass-Truth Branch - The Seattle Public Library,2300 East Yesler Way,Seattle,47.6019184,-122.3016502,ChIJz7j3fcJqkFQR4IjrnHLzv74,4.5,library,
International District/Chinatown Branch - The Seattle Public Library,713 8th Avenue South,Seattle,47.5962327,-122.3227843,ChIJn-krn71qkFQR54uojagWKD8,4.4,library,
Capitol Hill Branch - The Seattle Public Library,425 Harvard Avenue East,Seattle,47.6229294,-122.3223185,ChIJ1Y9IDC4VkFQRteLhIs-Bf4I,4.5,library,
Madrona-Sally Goldmark Branch - The Seattle Public Library,1134 33rd Avenue,Seattle,47.6126748,-122.2900202,ChIJ3XHObSdrkFQR1ZG6wstVcZ8,4.9,library,
Beacon Hill Branch - The Seattle Public Library,2821 Beacon Avenue South,Seattle,47.5779907,-122.3114033,ChIJQ2xGQIdqkFQRDAwVMNgC7gI,4.5,library,
Montlake Branch - The Seattle Public Library,2401 24th Avenue East,Seattle,47.6405196,-122.3024015,ChIJU2vyhcMUkFQRG9TOL-sJups,4.4,library,
Queen Anne Branch - The Seattle Public Library,400 West Garfield Street,Seattle,47.6338136,-122.362665,ChIJEw6qRGwVkFQRNJYY6wj_LXY,4.4,library,
Fremont Branch - The Seattle Public Library,731 North 35th Street,Seattle,47.6500621,-122.3484226,ChIJoz291gAVkFQR5-kw3WppwvU,4.6,library,
Swedish Pain Services - First Hill,600 Broadway #530,Seattle,47.6077531,-122.3200772,ChIJ-0tZb8hqkFQR34w031as_LE,4,hospital,
Swedish / First Hill Lytle Center for Pregnancy and Newborns,1296 Cherry Street,Seattle,47.6081296,-122.3215427,ChIJK58VR8hqkFQRkI26eknR7F0,5,hospital,
Swedish Medical Center First Hill 2nd Floor Endoscopy unit,747 Broadway,Seattle,47.6086911,-122.32152,ChIJWy99TshqkFQR7EMvj1bczcM,4.2,hospital,
Swedish Orthopedic Institute - Seattle,601 Broadway,Seattle,47.6074733,-122.3213809,ChIJ2UdDFMhqkFQRE9lczfbh4OI,4.3,hospital,
Swedish,747 Broadway,Seattle,47.6088664,-122.3219078,ChIJIaimVchqkFQROvSZca1wkjo,3.7,hospital,
Swedish First Hill Campus,747 Broadway,Seattle,47.6088943,-122.3220427,ChIJK1HatMVqkFQRLSEF-lkF5L8,3.7,hospital,
Swedish Center for Comprehensive Care - Seattle,515 Minor Avenue,Seattle,47.6062639,-122.321727,ChIJe8luAMhqkFQRf8ocyWlZl5A,3.9,hospital,
Swedish Pediatric Therapy,Suite 1500,Seattle,47.6100869,-122.3221134,ChIJgxHE6shqkFQRB_3WzFcaZl0,5,hospital,
Planned Parenthood - First Hill Health Center,1229 Madison Street Suite 1040,Seattle,47.6101561,-122.3220829,ChIJs31noMlqkFQRgbwXi3JnaZo,4.5,hospital,
First Hill Medical Swedish Hospital,1124 Columbia Street,Seattle,47.6083333,-122.3235769,ChIJe0TqLMhqkFQRoPHi0P8Ijf0,4,hospital,
Swedish Country Doctor Walk-In After-Hours Clinic - Seattle,550 16th Avenue,Seattle,47.6075873,-122.3108553,ChIJ9_C6sMVqkFQRyxQr5VL9-eE,3.8,hospital,
Swedish Multiple Sclerosis Center - Seattle,A Level,Seattle,47.6064789,-122.3111299,ChIJk8O9McRqkFQRhuWgAKEbX2k,3.6,hospital,
Pediatric Echo Clinic,1101 Madison Street,Seattle,47.6091997,-122.3241094,ChIJLyOWxMlqkFQRHoOcj8lG9DI,5,hospital,
Pacific Medical Center - First Hill,1101 Madison Street Suite 301,Seattle,47.60924,-122.324199,ChIJZTs13clqkFQR3Wq9gIePNZQ,3.1,hospital,
Eastern's Pharmacy,515 Minor Avenue #120,Seattle,47.6064224,-122.3220492,ChIJf4OkAMhqkFQRRGRx8i3KTLQ,4.6,pharmacy,
First Hill - Arnold Pharmacy - Oncology,1221 Madison Street,Seattle,47.609998,-122.323002,ChIJozXil8lqkFQR9n-h4ROZvAQ,5,pharmacy,
