BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOOD_DISTRICT_NAME,NEIGHBORHOODS_INCLUDED,CRA_NAME,PCT_IN_VILLAGE,AREA,CT_LON,CT_LAT
530330001001,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1,8967593.023,-122.28469,47.72683
530330001002,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1,3103999.781,-122.29247,47.72932
530330001003,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.666666667,3990297.626,-122.28945,47.72281
530330001004,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,1,1360694.387,-122.29445,47.73194
530330001005,Outside Villages,Outside Villages,North,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",Cedar Park/Meadowbrook,0.571428571,2481027.135,-122.29444,47.72293
530330002001,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1,4434289.015,-122.29892,47.72909
530330002002,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,0.6875,5465557.447,-122.30283,47.72179
530330002003,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1,10661121.69,-122.31903,47.72793
530330002004,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1,4060633.307,-122.31018,47.72866
530330002005,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1,5244818.105,-122.31391,47.72274
530330002006,Outside Villages,Outside Villages,North,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",Olympic Hills/Victory Heights,1,5504641.039,-122.30468,47.72922
530330003001,Outside Villages,Outside Villages,Northwest,"Haller Lake, Pinehurst",Haller Lake,1,8485433.281,-122.3289,47.73007
530330003002,Outside Villages,Outside Villages,Northwest,"Haller Lake, Pinehurst",Haller Lake,0.6875,4543441.025,-122.34043,47.73138
530330004011,Bitter Lake Village,Hub Urban Village,Northwest,"Broadview, Bitter Lake",Broadview/Bitter Lake,0.6,6797052.114,-122.34949,47.73015
