PUMA,SERIALNO,RAC1P,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,ENG,JWTR,JWRIP,LANX,PINCP,LANP,HISP,PWGTP,JWMNP,JWTR,JWRIP,MIG,SCHL,race,neighborhood,hispanic,Category,Code,Description,HINCP,NP,WGTP,AMI_80,HINCP_threshold,AMI_60,AMI_50,AMI_40
11604,127,6,45,2.0,2,2,2.0,2.0,2.0,,,1.0,16800.0,1960.0,1,122,,,,1.0,20.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,LANP,1960.0,Vietnamese,17593.321570319607,2.0,122.0,122,Under 60,122,122,122
11604,127,6,67,2.0,2,2,2.0,2.0,3.0,,,1.0,0.0,1960.0,1,130,,,,1.0,18.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,LANP,1960.0,Vietnamese,17593.321570319607,2.0,122.0,130,Under 60,130,130,130
11604,747,6,36,2.0,2,2,2.0,2.0,,1.0,1.0,2.0,155000.0,,1,74,30.0,1.0,1.0,1.0,22.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,,,,246097.05768006595,4.0,74.0,0,Over 60,0,0,0
11604,747,6,39,2.0,2,2,2.0,2.0,,1.0,4.0,2.0,80000.0,,1,80,30.0,1.0,4.0,1.0,21.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,,,,246097.05768006595,4.0,74.0,0,Over 60,0,0,0
11604,747,6,8,2.0,2,2,,2.0,,,,2.0,,,1,64,,,,1.0,5.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,,,,246097.05768006595,4.0,74.0,0,Over 60,0,0,0
11604,747,6,4,,2,2,,,,,,,,,1,76,,,,1.0,2.0,Asian alone,"Southeast, Capital Hill",Not Spanish/Hispanic/Latino origin,,,,246097.05768006595,4.0,74.0,0,Over 60,0,0,0
11602,1984,1,41,2.0,2,2,2.0,2.0,,1.0,1.0,2.0,53000.0,,1,69,25.0,1.0,1.0,3.0,22.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,,55502.74066827019,3.0,69.0,69,Over 60,0,0,0
11602,1984,1,13,2.0,2,2,,2.0,,,,2.0,,,1,50,,,,3.0,10.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,,55502.74066827019,3.0,69.0,50,Over 60,0,0,0
11602,1984,1,11,2.0,2,2,,2.0,,,,2.0,,,1,51,,,,3.0,9.0,White alone,Northeast,Not Spanish/Hispanic/Latino origin,,,,55502.74066827019,3.0,69.0,51,Over 60,0,0,0
11605,2319,6,49,2.0,2,2,2.0,2.0,1.0,1.0,1.0,1.0,38000.0,2000.0,1,89,25.0,1.0,1.0,3.0,20.0,Asian alone,"West, Duwamish, Beacon Hill",Not Spanish/Hispanic/Latino origin,LANP,2000.0,Mandarin,39794.41783762768,3.0,89.0,89,Under 60,89,89,0
