bg_od_pair,google_duration,trip_path_distance,origin_lat,origin_lng,dest_lat,dest_lng
530079603001 to 530330054003,255.0,96.65,48.02697,-120.33774,47.65213,-122.34562
530299720001 to 530330067001,67.0,40.1,48.04078,-122.40862,47.63677,-122.3409
530299721001 to 530330080012,72.0,30.38007093,47.971973,-122.359905,47.614846,-122.347534
530330001001 to 530330001005,9.0,1.0,47.72081,-122.28166,47.72025,-122.29449
530330001001 to 530330007001,10.0,1.41,47.72643,-122.2871,47.71614,-122.29495
530330001001 to 530330041005,37.0,6.22,47.73329,-122.28441,47.66126,-122.28859
530330001001 to 530330053023,38.5,7.07,47.72627,-122.28676,47.653535,-122.31128000000001
530330001001 to 530330067001,66.0,11.96,47.72962,-122.28216,47.6332,-122.34052
530330001001 to 530610413011,24.0,17.1,47.732,-122.28926,47.92983,-122.30109
530330001002 to 530330001003,8.0,0.89,47.73338,-122.29205,47.72351,-122.29184
530330001002 to 530330007001,6.0,1.03781826675,47.72887675,-122.292297,47.71739275,-122.295303
530330001002 to 530330018001,13.0,5.543872062,47.732876,-122.291984,47.696914,-122.338395
530330001002 to 530330018002,12.0,5.675602714,47.729744,-122.29212,47.691757,-122.343235
530330001002 to 530330093002,55.0,12.88,47.73296,-122.2919,47.5925,-122.33236
530330001002 to 530330203005,15.0,6.496433805,47.732791,-122.291999,47.774849,-122.344447
530330001002 to 530330323193,21.5,8.575,47.73299,-122.29187999999999,47.766070000000006,-122.15625
530330001002 to 530610418122,18.0,13.06867487,47.72991500000001,-122.294369,47.873718,-122.271517
530330001002 to 530610419011,22.0,16.51,47.73265,-122.29,47.92176,-122.30009
530330001003 to 530330001002,6.5,0.786783082,47.7234985,-122.2920275,47.7330855,-122.2920245
530330001003 to 530330001005,6.0,0.355,47.722607499999995,-122.29181750000001,47.71992,-122.29379749999998
530330001003 to 530330002002,5.0,1.192410949,47.725831,-122.28748,47.721782999999995,-122.301472
530330001003 to 530330002004,13.0,1.8450000000000002,47.72572,-122.28682,47.73343,-122.31213
530330001003 to 530330002005,9.0,2.097748496,47.725831,-122.28748,47.721863,-122.31656
530330001003 to 530330007001,5.638888888888889,0.7619362106666667,47.72402163888889,-122.2911971111111,47.717314277777774,-122.29499422222226
530330001003 to 530330007002,4.5,0.535,47.7238,-122.29245499999999,47.71904500000001,-122.298
530330001003 to 530330009001,3.0,0.864948432,47.722785,-122.291019,47.716989,-122.279464
530330001003 to 530330012005,13.0,3.08,47.72374,-122.29201,47.70541,-122.33336
530330001003 to 530330026003,8.0,3.56,47.72408,-122.29187,47.67681,-122.30935
530330001003 to 530330043021,13.0,4.375694582,47.724022,-122.29223799999998,47.665812,-122.304767
530330001003 to 530330052005,28.0,7.78,47.72355,-122.29197,47.66114,-122.31847
530330001003 to 530330071002,22.0,9.017335952,47.72457,-122.292076,47.620114,-122.35843
530330001003 to 530330079002,22.0,9.313522795333334,47.723931,-122.29049300000001,47.616267,-122.30801366666667
530330001003 to 530330081002,18.0,9.10929886,47.724022,-122.29223799999998,47.604517,-122.330682
530330001004 to 530330018003,47.0,5.97,47.73186,-122.29243999999998,47.69452,-122.3498
530330001005 to 530330001002,5.0,0.89,47.72177,-122.29502,47.72909,-122.29291
530330001005 to 530330001003,2.5,0.35262501,47.71995075,-122.29450875,47.723487,-122.29214825
530330001005 to 530330001005,2.0,0.158927694,47.72111866666666,-122.294933,47.72098366666666,-122.29517933333334
530330001005 to 530330002002,2.5,0.176933876,47.720747,-122.295241,47.7200475,-122.2982205
530330001005 to 530330004011,14.0,3.2,47.722,-122.29506,47.72834,-122.35034
530330001005 to 530330004013,11.0,3.198196537,47.720375,-122.29507,47.726639,-122.355117
530330001005 to 530330006001,9.0,2.638341266,47.719293,-122.29518600000002,47.727126,-122.343957
530330001005 to 530330007001,3.8823529411764706,0.35870683999999997,47.72088947058823,-122.29482117647058,47.71737188235296,-122.29507805882352
530330001005 to 530330007002,7.5,0.5700000000000001,47.719451,-122.294408,47.714404,-122.29836549999999
530330001005 to 530330012003,5.0,1.595059357,47.719527,-122.295845,47.711741,-122.318205
530330001005 to 530330012004,13.5,2.2302244515,47.719784000000004,-122.295107,47.706151500000004,-122.3262025
530330001005 to 530330012005,11.0,3.170856213,47.719293,-122.29518600000002,47.705282,-122.333375
530330001005 to 530330013003,12.0,3.9,47.719461,-122.295659,47.701522,-122.344915
530330001005 to 530330016003,18.0,5.18,47.72152,-122.29602,47.69194,-122.37717
