Mon Jul 23 16:38:19 2018    OUTFILE

         31621851 function calls (31618175 primitive calls) in 29.799 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   396456    7.777    0.000   18.314    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\coords.py:164(__call__)
   396472    1.517    0.000    3.368    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\rtree\index.py:692(py_next_item)
       32    1.506    0.047    4.875    0.152 C:\Users\dariu\Anaconda3\lib\site-packages\rtree\index.py:853(__init__)
   396456    1.499    0.000    3.418    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:73(geom_factory)
   792928    1.460    0.000    2.013    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\predicates.py:23(__call__)
   396456    1.321    0.000    3.563    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\polygon.py:246(exterior)
  1784064    1.292    0.000    1.292    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:222(empty)
    99114    1.150    0.000    1.159    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:117(deserialize_wkb)
   792928    1.134    0.000    3.403    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:640(is_empty)
   396456    1.095    0.000    1.314    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\topology.py:76(__call__)
   792960    0.852    0.000    0.852    0.000 C:\Users\dariu\Anaconda3\lib\ctypes\__init__.py:487(cast)
   396456    0.793    0.000   21.826    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:460(bounds)
   793048    0.762    0.000    0.762    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:67(geometry_type_name)
   396456    0.649    0.000    0.769    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\rtree\index.py:637(deinterleave)
   792916    0.575    0.000    0.892    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:257(_geom)
  1586112    0.558    0.000    0.726    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\topology.py:16(_validate)
  4757976    0.544    0.000    0.544    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:253(_geom)
   396456    0.513    0.000    5.304    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:488(envelope)
        4    0.419    0.105    1.856    0.464 {built-in method _pickle.load}
   892030    0.407    0.000    1.335    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:233(__del__)
396504/396472    0.350    0.000    0.751    0.000 {built-in method builtins.__import__}
  4361096    0.347    0.000    0.347    0.000 {built-in method _ctypes.byref}
   401089    0.288    0.000    0.401    0.000 <frozen importlib._bootstrap>:995(_handle_fromlist)
  1585976    0.282    0.000    0.282    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\impl.py:56(__getitem__)
       80    0.241    0.003   22.252    0.278 {pandas._libs.lib.map_infer}
   396592    0.237    0.000    0.635    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:347(geometryType)
    99114    0.183    0.000    1.402    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\base.py:244(__setstate__)
   396456    0.182    0.000   22.008    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\geopandas\tools\sjoin.py:67(<lambda>)
   396456    0.181    0.000    0.181    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geometry\polygon.py:31(__init__)
   396504    0.177    0.000    0.177    0.000 {built-in method builtins.locals}
  1288634    0.176    0.000    0.176    0.000 C:\Users\dariu\Anaconda3\lib\site-packages\shapely\geos.py:545(errcheck_predicate)
